WL210,WL220,WL230,WL240,WL250,WL260,WL270,WL280,WL290,WL300,WL310,WL320,WL330,WL340,WL350,Conc
2.7582,3.5505,5.0590,1.5238,4.2746,5.6656,4.7235,3.0525,2.9948,5.0521,5.3711,3.1532,1.7397,0.7422,5.5021,6.398
2.0680,2.6538,3.7905,1.1618,3.1664,4.2091,3.5060,2.2827,2.2169,3.7332,3.9901,2.3437,1.2993,0.5722,4.1299,4.73
2.0427,2.6562,3.7480,1.1311,3.1491,4.1671,3.4690,2.2208,2.1827,3.6939,3.9219,2.3425,1.2998,0.5661,4.0788,4.661
1.2259,1.6165,2.2328,0.6713,1.8942,2.4655,2.0456,1.3158,1.2781,2.1989,2.2885,1.3682,0.8091,0.3675,2.4532,2.713
0.5364,0.7401,1.0164,0.2551,0.8123,1.0830,0.8425,0.5540,0.5328,0.9208,0.9148,0.5842,0.3731,0.2200,1.0732,1.072
0.8759,1.1931,1.6360,0.4574,1.3616,1.7909,1.4567,0.9527,0.8990,1.5430,1.6268,0.9694,0.5868,0.2987,1.7772,1.889
1.1439,1.5438,2.1163,0.6433,1.7917,2.3371,1.9534,1.2364,1.2129,2.0536,2.1937,1.3029,0.7523,0.3610,2.3319,2.564
4.0699,5.1847,7.4088,2.2789,6.2706,8.3613,7.0038,4.4847,4.4047,7.4254,7.9983,4.6897,2.5234,1.0549,8.1004,9.502
3.8485,4.8890,6.9842,2.1395,5.9086,7.8560,6.6065,4.2351,4.1534,7.0003,7.5195,4.4249,2.3879,1.0026,7.6569,8.951
2.5314,3.2590,4.6480,1.4243,3.9178,5.2293,4.3580,2.8030,2.7559,4.6211,4.9252,2.9200,1.5992,0.6762,5.0867,5.87
1.7234,2.2472,3.1636,0.9659,2.6474,3.5186,2.9449,1.8799,1.8449,3.1083,3.3213,1.9773,1.0991,0.5042,3.4714,3.924
1.0530,1.4177,1.9640,0.5642,1.6468,2.1500,1.7863,1.1316,1.1253,1.8933,2.0051,1.2114,0.6992,0.3174,2.1270,2.341
3.0153,3.8479,5.5029,1.6605,4.6271,6.1629,5.1479,3.3171,3.2732,5.4821,5.8645,3.4584,1.8774,0.8005,5.9904,6.968
2.6684,3.4303,4.8713,1.4885,4.1278,5.4550,4.5638,2.9491,2.8808,4.8592,5.1699,3.0737,1.6737,0.7294,5.3354,6.167
0.8682,1.1982,1.6437,0.4888,1.3594,1.7969,1.4882,0.9659,0.9219,1.5598,1.6354,0.9941,0.5911,0.2768,1.8037,1.932
0.7646,1.0504,1.4697,0.4004,1.2104,1.5806,1.2876,0.8553,0.8199,1.3691,1.4254,0.8864,0.5272,0.2707,1.6032,1.678
1.1662,1.5742,2.1768,0.6258,1.8204,2.3983,2.0053,1.2964,1.2661,2.1214,2.2195,1.3507,0.7907,0.3781,2.3692,2.629
2.6549,3.4096,4.8445,1.4874,4.0780,5.3989,4.5000,2.8926,2.8666,4.8118,5.1172,3.0333,1.6582,0.7082,5.2652,6.101
1.3092,1.6951,2.3832,0.7146,1.9942,2.6385,2.2106,1.4179,1.3980,2.3141,2.4598,1.4599,0.8268,0.3851,2.6175,2.908
4.0457,5.1213,7.3408,2.2693,6.1835,8.2302,6.9157,4.4404,4.3843,7.3719,7.8775,4.6360,2.4838,1.0408,8.0220,9.39
4.2815,5.4064,7.7495,2.3690,6.5288,8.7231,7.3171,4.6780,4.6264,7.7876,8.3382,4.9106,2.6221,1.0793,8.4729,9.926
3.7990,4.8317,6.8994,2.1283,5.8051,7.7439,6.5013,4.1824,4.0882,6.8956,7.3950,4.3514,2.3310,0.9733,7.5299,8.811
1.4987,1.9315,2.7249,0.8338,2.2776,3.0232,2.5163,1.6300,1.6001,2.6645,2.8439,1.6861,0.9437,0.4252,2.9767,3.354
2.3836,3.0464,4.3617,1.3167,3.6720,4.8649,4.0620,2.6201,2.5573,4.3118,4.6093,2.7192,1.4961,0.6498,4.7602,5.471
